cyrillic,menksoft,unicode,latin
амарсайхан,,ᠠᠮᠤᠷᠰᠠᠢᠬᠠᠨ,amvrsaihan
амарсанаа,,ᠠᠮᠤᠷᠰᠠᠨᠠᠭ᠎ᠠ,amvrsanag-a
амартайван,,ᠠᠮᠤᠷᠲᠠᠢᠪᠤᠩ,amvrtaibvN
амартүвшин,,ᠠᠮᠤᠷᠲᠦ᠋ᠪᠰᠢᠨ,amvrtu1bsin
амартөвшин,,ᠠᠮᠤᠷᠲᠦ᠋ᠪᠰᠢᠨ,amvrtu1bsin
амархүү,,ᠠᠮᠤᠷᠬᠦᠦ,amvrhuu
амбагай,,ᠠᠮᠪᠠᠭᠠᠢ,ambagai
амгаа,,ᠠᠮᠤᠭ᠎ᠠ,amvg-a
амгаасад,,ᠠᠮᠤᠭᠠᠰᠡᠳᠢ,amvgasedi
амгалан,,ᠠᠮᠤᠭᠤᠯᠠᠩ,amvgvlaN
амгаланбаатар,,ᠠᠮᠤᠭᠤᠯᠠᠩᠪᠠᠭᠠᠲᠤᠷ,amvgvlaNbagatvr
амгаланбат,,ᠠᠮᠤᠭᠤᠯᠠᠩᠪᠠᠲᠤ,amvgvlaNbatv
амгаланбаяр,,ᠠᠮᠤᠭᠤᠯᠠᠩᠪᠠᠶᠠᠷ,amvgvlaNbayar
амгаландорж,,ᠠᠮᠤᠭᠤᠯᠠᠩᠳᠣᠷᠵᠢ,amvgvlaNdqrji
амгаландэлгэр,,ᠠᠮᠤᠭᠤᠯᠠᠩᠳᠡᠯᠭᠡᠷ,amvgvlaNdelger
амгаланжаргал,,ᠠᠮᠤᠭᠤᠯᠠᠩᠵᠢᠷᠭᠠᠯ,amvgvlaNjirgal
амгаланзаяа,,ᠠᠮᠤᠭᠤᠯᠠᠩᠵᠠᠶᠠᠭ᠎ᠠ,amvgvlaNjayag-a
амгалансайхан,,ᠠᠮᠤᠭᠤᠯᠠᠩᠰᠠᠢᠬᠠᠨ,amvgvlaNsaihan
амгалант,,ᠠᠮᠤᠭᠤᠯᠠᠩᠲᠤ,amvgvlaNtv
амгалантуяа,,ᠠᠮᠤᠭᠤᠯᠠᠩᠲᠤᠶᠠᠭ᠎ᠠ,amvgvlaNtvyag-a
