cyrillic,menksoft,unicode,latin
суртахуун,,ᠰᠤᠷᠲᠠᠬᠤᠨ,svrtahvn
суртогтох,,ᠰᠤᠷᠲᠣᠭᠲᠠᠬᠤ,svrtqgtahv
сутай,,ᠰᠤᠲᠠᠢ,svtai
сутайбаяр,,ᠰᠤᠲᠠᠢᠪᠠᠶᠠᠷ,svtaibayar
сутайнхишиг,,ᠰᠤᠲᠠᠶᠢᠨᠬᠡᠰᠢᠭ,svtayinhesig
сутайхүү,,ᠰᠤᠲᠠᠢᠬᠦᠦ,svtaihuu
суубилиг,,ᠰᠤᠤᠪᠢᠯᠢᠭ᠌,svvbilig2
суубилэг,,ᠰᠤᠤᠪᠢᠯᠢᠭ᠌,svvbilig2
сууж,,ᠰᠠᠭᠤᠵᠤ,sagvjv
суужээ,,ᠰᠠᠭᠤᠵᠡᠢ,sagvjei
суулгавал,,ᠰᠠᠭᠤᠯᠭᠠᠪᠠᠯ,sagvlgabal
суулгах,,ᠰᠠᠭᠤᠯᠭᠠᠬᠤ,sagvlgahv
суулгац,,ᠰᠠᠭᠤᠯᠭᠠᠴᠠ,sagvlgaca
суурин,,ᠰᠠᠭᠤᠷᠢᠨ,sagvrin
суурь,,ᠰᠠᠭᠤᠷᠢ,sagvri
суурьбат,,ᠰᠠᠭᠤᠷᠢᠪᠠᠲᠤ,sagvribatv
суурьтогтох,,ᠰᠠᠭᠤᠷᠢᠲᠣᠭᠲᠠᠬᠤ,sagvritqgtahv
суурьхүү,,ᠰᠠᠭᠤᠷᠢᠬᠦᠦ,sagvrihuu
суут,,ᠰᠤᠤᠲᠤ,svvtv
сэвгэр,,ᠰᠡᠪᠡᠭᠡᠷ,sebeger
сэвгэрээ,,ᠰᠡᠪᠡᠭᠡᠷ᠎ᠡ,sebeger-e
сэвжид,,ᠰᠡᠪᠵᠢᠳ,sebjid
сэвжидбалбар,,ᠰᠡᠪᠵᠢᠳᠪᠠᠯᠪᠠᠷ,sebjidbalbar
сэвжидбалжир,,ᠰᠡᠪᠵᠢᠳᠪᠠᠯᠵᠤᠷ,sebjidbaljvr
сэвжидбар,,ᠰᠡᠪᠵᠢᠳᠪᠠᠷ,sebjidbar
сэвжиддорж,,ᠰᠡᠪᠵᠢᠳᠳᠣᠷᠵᠢ,sebjiddqrji
сэвжиддулам,,ᠰᠡᠪᠵᠢᠳᠳᠤᠯᠮ᠎ᠠ,sebjiddvlm-a
сэвжидмаа,,ᠰᠡᠪᠵᠢᠳᠮ᠎ᠠ,sebjidm-a
сэвжидноров,,ᠰᠡᠪᠵᠢᠳᠨᠣᠷᠪᠣ,sebjidnqrbq
сэвжидням,,ᠰᠡᠪᠵᠢᠳᠨᠢᠮ᠎ᠠ,sebjidnim-a
сэвжидсүрэн,,ᠰᠡᠪᠵᠢᠳᠰᠦ᠋ᠷᠦᠩ,sebjidsu1ruN
сэвжидхорлоо,,ᠰᠡᠪᠵᠢᠳᠬᠣᠷᠯᠣ,sebjidhqrlq
сэвжидхүү,,ᠰᠡᠪᠵᠢᠳᠬᠦᠦ,sebjidhuu
сэд,,ᠰᠡᠳᠢ,sedi
сэдбаатар,,ᠰᠡᠳᠢᠪᠠᠭᠠᠲᠤᠷ,sedibagatvr
сэдбазар,,ᠰᠡᠳᠢᠪᠠᠵᠠᠷ,sedibajar
сэдбайдар,,ᠰᠡᠳᠢᠪᠠᠢᠳᠤᠷ,sedibaidvr
сэдбал,,ᠰᠡᠳᠢᠪᠠᠯ,sedibal
сэдбуян,,ᠰᠡᠳᠢᠪᠤᠶᠠᠨ,sedibvyan
сэдваанчиг,,ᠰᠡᠳᠢᠸᠠᠩᠴᠤᠭ,sediwaNcvg
сэдванчиг,,ᠰᠡᠳᠢᠸᠠᠩᠴᠤᠭ,sediwaNcvg
сэддарам,,ᠰᠡᠳᠢᠳᠠᠷᠮ᠎ᠠ,sedidarm-a
сэддарь,,ᠰᠡᠳᠢᠳᠠᠷᠢ,sedidari
сэддорж,,ᠰᠡᠳᠢᠳᠣᠷᠵᠢ,sedidqrji
сэджав,,ᠰᠡᠳᠢᠵᠠᠪ,sedijab
сэджанцан,,ᠰᠡᠳᠢᠵᠠᠩᠴᠠᠨ,sedijaNcan
сэдзана,,ᠰᠡᠳᠢᠵᠠᠨ᠎ᠠ,sedijan-a
сэдзориг,,ᠰᠡᠳᠢᠵᠣᠷᠢᠭ,sedijqrig
сэдибазар,,ᠰᠡᠳᠢᠪᠠᠵᠠᠷ,sedibajar
сэдмаа,,ᠰᠡᠳᠢᠮ᠎ᠠ,sedim-a
сэдням,,ᠰᠡᠳᠢᠨᠢᠮ᠎ᠠ,sedinim-a
сэдрагчаа,,ᠰᠡᠳᠢᠷᠠᠭᠴᠠ,sediragca
сэдсүрэн,,ᠰᠡᠳᠢᠷᠦ᠋ᠷᠦᠩ,sediru1ruN
сэдхүү,,ᠰᠡᠳᠢᠬᠦᠦ,sedihuu
сэдчулуун,,ᠰᠡᠳᠢᠴᠢᠯᠠᠭᠤᠨ,sedicilagvn
сэдэд,,ᠰᠡᠳᠢᠳ,sedid
сэдэддансран,,ᠰᠡᠳᠢᠳᠳᠠᠩᠰᠤᠷᠠᠩ,sediddaNsvraN
сэдэддорж,,ᠰᠡᠳᠢᠳᠳᠣᠷᠵᠢ,sediddqrji
сэдэджамц,,ᠰᠡᠳᠢᠳᠵᠠᠮᠴᠤ,sedidjamcv
сэдэджанцан,,ᠰᠡᠳᠢᠳᠵᠠᠩᠴᠠᠨ,sedidjaNcan
сэдэдмаа,,ᠰᠡᠳᠢᠳᠮ᠎ᠠ,sedidm-a
сэдэдпүрэв,,ᠰᠡᠳᠢᠳᠫᠦᠷᠪᠦ,sedidpurbu
сэдэдрагчаа,,ᠰᠡᠳᠢᠳᠷᠠᠭᠴᠠ,sedidragca
сэдэдсүрэн,,ᠰᠡᠳᠢᠳᠰᠦ᠋ᠷᠦᠩ,sedidsu1ruN
сэдэнжав,,ᠰᠡᠳᠡᠨᠵᠠᠪ,sedenjab
сэдэнсодном,,ᠰᠡᠳᠡᠨᠰᠣᠳᠨᠠᠮ,sedensqdnam
сэдээ,,ᠰᠡᠳᠡ,sede
сэд‐од, ,ᠰᠡᠳᠢ ᠣᠳ,sedi qd
сэд‐очир,,ᠰᠡᠳᠢᠸᠴᠢᠷ,sediwcir
сэлбэдорж,,ᠰᠡᠯᠪᠡᠳᠣᠷᠵᠢ,selbedqrji
сэлэм,,ᠰᠡᠯᠡᠮ᠎ᠡ,selem-e
сэлэмбаатар,,ᠰᠡᠯᠡᠮᠡᠪᠠᠭᠠᠲᠤᠷ,selemebagatvr
сэлэмжав,,ᠰᠡᠯᠡᠮᠡᠵᠠᠪ,selemejab
сэлэмтбаатар,,ᠰᠡᠯᠡᠮᠡᠲᠦᠪᠠᠭᠠᠲᠤᠷ,selemetubagatvr
сэлэмхаан,,ᠰᠡᠯᠡᠮᠡᠬᠠᠭᠠᠨ,selemehagan
сэлэнгэ,,ᠰᠡᠯᠡᠩᠭᠡ,seleNge
сэлэнгэбаатар,,ᠰᠡᠯᠡᠩᠭᠡᠪᠠᠭᠠᠲᠤᠷ,seleNgebagatvr
сэлэнгэбат,,ᠰᠡᠯᠡᠩᠭᠡᠪᠠᠲᠤ,seleNgebatv
сэлэнгэбаяр,,ᠰᠡᠯᠡᠩᠭᠡᠪᠠᠶᠠᠷ,seleNgebayar
сэлэнгэбуян,,ᠰᠡᠯᠡᠩᠭᠡᠪᠤᠶᠠᠨ,seleNgebvyan
сэлэнгэдэлгэр,,ᠰᠡᠯᠡᠩᠭᠡᠳᠡᠯᠭᠡᠷ,seleNgedelger
сэлэнгэжаргал,,ᠰᠡᠯᠡᠩᠭᠡᠵᠢᠷᠭᠠᠯ,seleNgejirgal
сэлэнгэмаа,,ᠰᠡᠯᠡᠩᠭᠡᠮ᠎ᠠ,seleNgem-a
сэлэнгэмандал,,ᠰᠡᠯᠡᠩᠭᠡᠮᠠᠨᠳᠤᠯ,seleNgemandvl
сэлэнгэмөрөн,,ᠰᠡᠯᠡᠩᠭᠡᠮᠥᠷᠡᠨ,seleNgemoren
сэлэнгэсайхан,,ᠰᠡᠯᠡᠩᠭᠡᠰᠠᠢᠬᠠᠨ,seleNgesaihan
сэлэнгэсүрэн,,ᠰᠡᠯᠡᠩᠭᠡᠰᠦ᠋ᠷᠦᠩ,seleNgesu1ruN
сэлэнгэтуяа,,ᠰᠡᠯᠡᠩᠭᠡᠲᠤᠶᠠᠭ᠎ᠠ,seleNgetvyag-a
сэлэнгэханд,,ᠰᠡᠯᠡᠩᠭᠡᠬᠠᠩᠳᠤ,seleNgehaNdv
сэлэнгэхандаа,,ᠰᠡᠯᠡᠩᠭᠡᠬᠠᠩᠳᠤ,seleNgehaNdv
сэлэнгэчулуун,,ᠰᠡᠯᠡᠩᠭᠡᠴᠢᠯᠠᠭᠤᠨ,seleNgecilagvn
сэлэнгээ,,ᠰᠡᠯᠡᠩᠭᠡ᠎ᠡ,seleNge-e
сэлэнгэ‐эрдэнэ, ,ᠰᠡᠯᠡᠩᠭᠡ ᠡᠷᠳᠡᠨᠢ,seleNge erdeni
сэмбэрүү,,ᠰᠡᠮᠪᠦᠷᠦ,semburu
сэмбээ,,ᠰᠡᠮᠪᠡ,sembe
сэмбээжав,,ᠰᠡᠮᠪᠡᠵᠠᠪ,sembejab
сэмбээхүү,,ᠰᠡᠮᠪᠡᠬᠦᠦ,sembehuu
сэмжаан,,ᠰᠡᠮᠵᠠᠨ,semjan
сэмжид,,ᠰᠡᠮᠵᠢᠳ,semjid
сэмжидбаатар,,ᠰᠡᠮᠵᠢᠳᠪᠠᠭᠠᠲᠤᠷ,semjidbagatvr
сэмжиддорж,,ᠰᠡᠮᠵᠢᠳᠳᠣᠷᠵᠢ,semjiddqrji
сэмжиддулам,,ᠰᠡᠮᠵᠢᠳᠳᠤᠯᠮ᠎ᠠ,semjiddvlm-a
сэмжидлхүндэв,,ᠰᠡᠮᠵᠢᠳᡀᠦ᠋ᠩᠳᠦᠪ,semjidLu1Ndub
сэмжидмаа,,ᠰᠡᠮᠵᠢᠳᠮ᠎ᠠ,semjidm-a
сэмжидноров,,ᠰᠡᠮᠵᠢᠳᠨᠣᠷᠪᠣ,semjidnqrbq
сэмжидтуяа,,ᠰᠡᠮᠵᠢᠳᠲᠤᠶᠠᠭ᠎ᠠ,semjidtvyag-a
сэмүүн,,ᠰᠡᠮᠡᠭᠦᠨ,semegun
сэнгэ,,ᠰᠡᠩᠭᠡ,seNge
сэнгэбаатар,,ᠰᠡᠩᠭᠡᠪᠠᠭᠠᠲᠤᠷ,seNgebagatvr
сэнгэбавуу,,ᠰᠡᠩᠭᠡᠪᠠᠪᠤᠤ,seNgebabvv
сэнгэбадам,,ᠰᠡᠩᠭᠡᠪᠠᠳᠮ᠎ᠠ,seNgebadm-a
сэнгэбадар,,ᠰᠡᠩᠭᠡᠪᠠᠳᠠᠷ᠎ᠠ,seNgebadar-a
сэнгэбазар,,ᠰᠡᠩᠭᠡᠪᠠᠵᠠᠷ,seNgebajar
сэнгэбал,,ᠰᠡᠩᠭᠡᠪᠠᠯ,seNgebal
сэнгэбалдан,,ᠰᠡᠩᠭᠡᠪᠠᠯᠳᠠᠨ,seNgebaldan
сэнгэбалжир,,ᠰᠡᠩᠭᠡᠪᠠᠯᠵᠤᠷ,seNgebaljvr
сэнгэбат,,ᠰᠡᠩᠭᠡᠪᠠᠲᠤ,seNgebatv
сэнгэбаяр,,ᠰᠡᠩᠭᠡᠪᠠᠶᠠᠷ,seNgebayar
сэнгэвандан,,ᠰᠡᠩᠭᠡᠸᠠᠩᠳᠠᠨ,seNgewaNdan
сэнгэгарам,,ᠰᠡᠩᠭᠡᠭᠠᠷᠠᠮ᠎ᠠ,seNgegaram-a
сэнгэдагва,,ᠰᠡᠩᠭᠡᠳᠠᠭᠪᠠ,seNgedagba
сэнгэдамба,,ᠰᠡᠩᠭᠡᠳᠠᠮᠪᠠ,seNgedamba
сэнгэдаш,,ᠰᠡᠩᠭᠡᠳᠠᠰᠢ,seNgedasi
сэнгэдовдон,,ᠰᠡᠩᠭᠡᠳᠣᠪᠳᠠᠨ,seNgedqbdan
сэнгэдолжин,,ᠰᠡᠩᠭᠡᠳᠣᠯᠵᠠᠩ,seNgedqljaN
сэнгэдоной,,ᠰᠡᠩᠭᠡᠳᠣᠩᠨᠣᠢ,seNgedqNnqi
сэнгэдоо,,ᠰᠡᠩᠭᠡᠳᠣᠣ,seNgedqq
сэнгэдорж,,ᠰᠡᠩᠭᠡᠳᠣᠷᠵᠢ,seNgedqrji
сэнгэдулам,,ᠰᠡᠩᠭᠡᠳᠤᠯᠮ᠎ᠠ,seNgedvlm-a
сэнгэжав,,ᠰᠡᠩᠭᠡᠵᠠᠪ,seNgejab
сэнгэлмаа,,ᠰᠡᠩᠭᠦᠯᠮ᠎ᠠ,seNgulm-a
сэнгэмаа,,ᠰᠡᠩᠭᠡᠮ᠎ᠠ,seNgem-a
сэнгэноров,,ᠰᠡᠩᠨᠣᠷᠪᠣ,seNnqrbq
сэнгэням,,ᠰᠡᠩᠭᠡᠨᠢᠮ᠎ᠠ,seNgenim-a
сэнгэпүрэв,,ᠰᠡᠩᠭᠡᠫᠦᠷᠪᠦ,seNgepurbu
сэнгэравдан,,ᠰᠡᠩᠭᠡᠷᠠᠪᠳᠠᠨ,seNgerabdan
сэнгэрагчаа,,ᠰᠡᠩᠭᠡᠷᠠᠭᠴᠠ,seNgeragca
сэнгэренчин,,ᠰᠡᠩᠭᠡᠷᠢᠨᠴᠡᠨ,seNgerincen
сэнгэринчин,,ᠰᠡᠩᠭᠡᠷᠢᠨᠴᠢᠨ,seNgerincin
сэнгэсамба,,ᠰᠡᠩᠭᠡᠰᠠᠮᠪᠠ,seNgesamba
сэнгэсамбуу,,ᠰᠡᠩᠭᠡᠰᠠᠮᠪᠤᠤ,seNgesambvv
сэнгэсүрэн,,ᠰᠡᠩᠭᠡᠰᠦ᠋ᠷᠦᠩ,seNgesu1ruN
сэнгэцохио,,ᠰᠡᠩᠭᠡᠴᠣᠬᠢᠶ᠎ᠠ,seNgecqhiy-a
сэнгэцэрэн,,ᠰᠡᠩᠭᠡᠴᠡᠷᠢᠩ,seNgeceriN
сэнгээ,,ᠰᠡᠩᠭᠡ᠎ᠡ,seNge-e
сэнгээбаатар,,ᠰᠡᠩᠭᠡᠪᠠᠭᠠᠲᠤᠷ,seNgebagatvr
сэнгээсамбуу,,ᠰᠡᠩᠭᠡᠰᠠᠮᠪᠤᠤ,seNgesambvv
сэнгээсүрэн,,ᠰᠡᠩᠭᠡᠰᠦ᠋ᠷᠦᠩ,seNgesu1ruN
сэнгэ‐иш, ,ᠰᠡᠩᠭᠡ ᠶᠡᠰᠢ,seNge yesi
сэнгэ‐очир,,ᠰᠡᠩᠭᠡᠸᠴᠢᠷ,seNgewcir
сэнгүм,,ᠰᠡᠩᠭᠦᠮ,seNgum
сэнгүр,,ᠰᠡᠩᠭᠦᠷ,seNgur
сэндрээ,,ᠰᠡᠨᠳᠦᠷ᠎ᠡ,sendur-e
сэндэм,,ᠰᠡᠩᠳᠦᠮ,seNdum
сэндэн,,ᠰᠡᠩᠳᠦᠨ,seNdun
сэндэнбадам,,ᠰᠡᠩᠳᠦᠨᠪᠠᠳᠮ᠎ᠠ,seNdunbadm-a
сэндэнбуу,,ᠰᠡᠩᠳᠦᠨᠪᠤᠤ,seNdunbvv
сэндэнбэрх,,ᠰᠡᠩᠳᠦᠨᠪᠡᠷᠬᠡ,seNdunberhe
сэндэнгарав,,ᠰᠡᠩᠳᠦᠨᠭᠠᠷᠪᠤ,seNdungarbv
сэндэнгарам,,ᠰᠡᠩᠳᠦᠨᠭᠠᠷᠠᠮ᠎ᠠ,seNdungaram-a
сэндэндорж,,ᠰᠡᠩᠳᠦᠨᠳᠣᠷᠵᠢ,seNdundqrji
сэндэндулам,,ᠰᠡᠩᠳᠦᠨᠳᠤᠯᠮ᠎ᠠ,seNdundvlm-a
сэндэнжав,,ᠰᠡᠩᠳᠦᠨᠵᠠᠪ,seNdunjab
сэндэнпүрэв,,ᠰᠡᠩᠳᠦᠨᠫᠦᠷᠪᠦ,seNdunpurbu
сэндэнсүрэн,,ᠰᠡᠩᠳᠦᠨᠰᠦ᠋ᠷᠦᠩ,seNdunsu1ruN
сэндэнтал,,ᠰᠡᠩᠳᠦᠩᠲᠠᠯ᠎ᠠ,seNduNtal-a
сэндэнханд,,ᠰᠡᠩᠳᠦᠩᠬᠠᠩᠳᠤ,seNduNhaNdv
сэндэнхорлоо,,ᠰᠡᠩᠳᠦᠩᠬᠣᠷᠯᠣ,seNduNhqrlq
сэндэнхорол,,ᠰᠡᠩᠳᠦᠩᠬᠣᠷᠯᠣ,seNduNhqrlq
сэндэнхүү,,ᠰᠡᠩᠳᠦᠩᠬᠦᠦ,seNduNhuu
сэндэр,,ᠰᠡᠨᠳᠦᠷ,sendur
сэндэрмаа,,ᠰᠡᠨᠳᠦᠷᠮ᠎ᠠ,sendurm-a
сэргэлэн,,ᠰᠡᠷᠭᠦᠯᠡᠩ,serguleN
сэргэлэнбаатар,,ᠰᠡᠷᠭᠦᠯᠡᠩᠪᠠᠭᠠᠲᠤᠷ,serguleNbagatvr
сэргэлэнбат,,ᠰᠡᠷᠭᠦᠯᠡᠩᠪᠠᠲᠤ,serguleNbatv
сэргэлэнбаяр,,ᠰᠡᠷᠭᠦᠯᠡᠩᠪᠠᠶᠠᠷ,serguleNbayar
сэргэлэнбилиг,,ᠰᠡᠷᠭᠦᠯᠡᠩᠪᠢᠯᠢᠭ,serguleNbilig
сэргэлэнбилэг,,ᠰᠡᠷᠭᠦᠯᠡᠩᠪᠢᠯᠢᠭ,serguleNbilig
сэргэлэнболд,,ᠰᠡᠷᠭᠦᠯᠡᠩᠪᠣᠯᠣᠳ,serguleNbqlqd
сэргэлэнбуян,,ᠰᠡᠷᠭᠦᠯᠡᠩᠪᠤᠶᠠᠨ,serguleNbvyan
сэргэлэндорж,,ᠰᠡᠷᠭᠦᠯᠡᠩᠳᠣᠷᠵᠢ,serguleNdqrji
сэргэлэнжав,,ᠰᠡᠷᠭᠦᠯᠡᠩᠵᠠᠪ,serguleNjab
сэргэлэнзаяа,,ᠰᠡᠷᠭᠦᠯᠡᠩᠵᠠᠶᠠᠭ᠎ᠠ,serguleNjayag-a
сэргэлэнзоригт,,ᠰᠡᠷᠭᠦᠯᠡᠩᠵᠣᠷᠢᠭᠲᠤ,serguleNjqrigtv
сэргэлэнзул,,ᠰᠡᠷᠭᠦᠯᠡᠩᠵᠤᠯᠠ,serguleNjvla
сэргэлэнмаа,,ᠰᠡᠷᠭᠦᠯᠡᠩᠮ᠎ᠠ,serguleNm-a
сэргэлэнсанаа,,ᠰᠡᠷᠭᠦᠯᠡᠩᠰᠠᠨᠠᠭ᠎ᠠ,serguleNsanag-a
сэргэлэнтамир,,ᠰᠡᠷᠭᠦᠯᠡᠩᠲᠠᠮᠢᠷ,serguleNtamir
сэргэлэнтуул,,ᠰᠡᠷᠭᠦᠯᠡᠩᠲᠤᠤᠯᠠ,serguleNtvvla
сэргэлэнтуяа,,ᠰᠡᠷᠭᠦᠯᠡᠩᠲᠤᠶᠠᠭ᠎ᠠ,serguleNtvyag-a
сэргэлэнтөгс,,ᠰᠡᠷᠭᠦᠯᠡᠩᠲᠡᠭᠦᠰ,serguleNtegus
сэргэлэнхүү,,ᠰᠡᠷᠭᠦᠯᠡᠩᠬᠦᠦ,serguleNhuu
сэргэлэнцогт,,ᠰᠡᠷᠭᠦᠯᠡᠩᠴᠣᠭᠲᠤ,serguleNcqgtv
сэргэлэнцоо,,ᠰᠡᠷᠭᠦᠯᠡᠩᠴᠣ,serguleNcq
сэргэлэнцэцэг,,ᠰᠡᠷᠭᠦᠯᠡᠩᠴᠡᠴᠡᠭ,serguleNceceg
сэргэлэнчимэг,,ᠰᠡᠷᠭᠦᠯᠡᠩᠴᠢᠮᠡᠭ,serguleNcimeg
сэргэлэнчулуун,,ᠰᠡᠷᠭᠦᠯᠡᠩᠴᠢᠯᠠᠭᠤ,serguleNcilagv
сэрдаваа,,ᠰᠡᠷᠳᠠᠸᠠ,serdawa
сэрдагва,,ᠰᠡᠷᠳᠠᠭᠪᠠ,serdagba
сэрдамба,,ᠰᠡᠷᠳᠠᠮᠪᠠ,serdamba
сэрдарам,,ᠰᠡᠷᠳᠠᠷᠮ᠎ᠠ,serdarm-a
сэрдорж,,ᠰᠡᠷᠳᠣᠷᠵᠢ,serdqrji
сэрдулам,,ᠰᠡᠷᠳᠤᠯᠮ᠎ᠠ,serdvlm-a
сэрдүв,,ᠰᠡᠷᠳᠦᠪ,serdub
сэрж,,ᠰᠡᠷᠵᠢ,serji
сэржав,,ᠰᠡᠷᠵᠠᠪ,serjab
сэржамц,,ᠰᠡᠷᠵᠠᠮᠴᠤ,serjamcv
сэржанцан,,ᠰᠡᠷᠵᠠᠩᠴᠠᠨ,serjaNcan
сэржбадам,,ᠰᠡᠷᠵᠢᠪᠠᠳᠮ᠎ᠠ,serjibadm-a
сэржгаваа,,ᠰᠡᠷᠵᠢᠭᠠᠸᠠ,serjigawa
сэржготов,,ᠰᠡᠷᠵᠢᠭᠣᠲᠣᠪ,serjigqtqb
сэржгочоо,,ᠰᠡᠷᠵᠢᠭᠣᠴᠤ᠎ᠠ,serjigqcv-a
сэрждолгор,,ᠰᠡᠷᠵᠢᠳᠣᠯᠭᠠᠷ,serjidqlgar
сэрждорж,,ᠰᠡᠷᠵᠢᠳᠣᠷᠵᠢ,serjidqrji
сэржив,,ᠰᠡᠷᠵᠢᠪ,serjib
сэржид,,ᠰᠡᠷᠵᠢᠳ,serjid
сэржиймаа,,ᠰᠡᠷᠵᠢᠮ᠎ᠠ,serjim-a
сэржин,,ᠰᠡᠷᠵᠢᠨ,serjin
сэржинбаатар,,ᠰᠡᠷᠵᠢᠨᠪᠠᠭᠠᠲᠤᠷ,serjinbagatvr
сэржлхүмбэ,,ᠰᠡᠷᠵᠢᡀᠦ᠋ᠨᠪᠦ,serjiLu1nbu
сэржмаа,,ᠰᠡᠷᠵᠢᠮ᠎ᠠ,serjim-a
сэржмандал,,ᠰᠡᠷᠵᠢᠮᠠᠨᠳᠤᠯ,serjimandvl
сэржмэд,,ᠰᠡᠷᠵᠢᠮᠡᠳ,serjimed
сэржмядаг,,ᠰᠡᠷᠵᠢᠮᠢᠳᠤᠭ,serjimidvg
сэржмятав,,ᠰᠡᠷᠵᠢᠮᠢᠲᠤᠪ,serjimitvb
сэржнямбуу,,ᠰᠡᠷᠵᠢᠨᠢᠮᠪᠤᠤ,serjinimbvv
сэржханд,,ᠰᠡᠷᠵᠢᠬᠠᠩᠳᠤ,serjihaNdv
сэржхорол,,ᠰᠡᠷᠵᠢᠬᠣᠷᠯᠣ,serjihqrlq
сэрж‐арилдий, ,ᠰᠡᠷᠵᠢ ᠠᠷᠠᠯᠳᠢ,serji araldi
сэрж‐ёндон, ,ᠰᠡᠷᠵᠢ ᠶᠣᠨᠳᠠᠨ,serji yqndan
сэрсмаа,,ᠰᠡᠷᠰᠡᠮ᠎ᠠ,sersem-a
сэрсэн,,ᠰᠡᠷᠰᠡᠩ,serseN
сэрсэндагва,,ᠰᠡᠷᠰᠡᠩᠳᠠᠭᠪᠠ,serseNdagba
сэрсэндимэд,,ᠰᠡᠷᠰᠡᠩᠳᠢᠮᠡᠳ,serseNdimed
сэрсэндорж,,ᠰᠡᠷᠰᠡᠩᠳᠣᠷᠵᠢ,serseNdqrji
сэрсэндэжид,,ᠰᠡᠷᠰᠡᠩᠳᠡᠵᠢᠳ,serseNdejid
сэрсэндэмид,,ᠰᠡᠷᠰᠡᠩᠳᠢᠮᠡᠳ,serseNdimed
сэрсэнжигмэд,,ᠰᠡᠷᠰᠡᠩᠵᠢᠭᠮᠡᠳ,serseNjigmed
сэрсэнмаа,,ᠰᠡᠷᠰᠡᠩᠮ᠎ᠠ,serseNm-a
сэрсэннамжил,,ᠰᠡᠷᠰᠡᠩᠨᠠᠮᠵᠠᠯ,serseNnamjal
сэрсэнням,,ᠰᠡᠷᠰᠡᠩᠨᠢᠮ᠎ᠠ,serseNnim-a
сэрсэнпүрэв,,ᠰᠡᠷᠰᠡᠩᠫᠦᠷᠪᠦ,serseNpurbu
сэрсэнсамбуу,,ᠰᠡᠷᠰᠡᠩᠰᠠᠮᠪᠤᠤ,serseNsambvv
сэртэв,,ᠰᠡᠷᠲᠦᠪ,sertub
сэртэвсүрэн,,ᠰᠡᠷᠲᠦᠪᠰᠦ᠋ᠷᠦᠩ,sertubsu1ruN
сэртөгс,,ᠰᠡᠷᠲᠡᠭᠦᠰ,sertegus
сэрх,,ᠰᠡᠷᠬᠡ,serhe
сэрхбаатар,,ᠰᠡᠷᠬᠡᠪᠠᠭᠠᠲᠤᠷ,serhebagatvr
сэрхболд,,ᠰᠡᠷᠬᠡᠪᠣᠯᠣᠳ,serhebqlqd
сэрхэн,,ᠰᠡᠷᠬᠡᠨ,serhen
сэрчинбаатар,,ᠰᠡᠷᠴᠢᠨᠪᠠᠭᠠᠲᠤᠷ,sercinbagatvr
сэрчинбат,,ᠰᠡᠷᠴᠢᠨᠪᠠᠲᠤ,sercinbatv
сэрчиндимэд,,ᠰᠡᠷᠴᠢᠨᠳᠢᠮᠡᠳ,sercindimed
сэрчиндорж,,ᠰᠡᠷᠴᠢᠨᠳᠣᠷᠵᠢ,sercindqrji
сэрчиндэмид,,ᠰᠡᠷᠴᠢᠨᠳᠢᠮᠡᠳ,sercindimed
сэрчинжав,,ᠰᠡᠷᠴᠢᠨᠵᠠᠪ,sercinjab
сэрчинжигмэд,,ᠰᠡᠷᠴᠢᠨᠵᠢᠭᠮᠡᠳ,sercinjigmed
сэрчиннамжил,,ᠰᠡᠷᠴᠢᠨᠨᠠᠮᠵᠠᠯ,sercinnamjal
сэрчинсүрэн,,ᠰᠡᠷᠴᠢᠨᠰᠦ᠋ᠷᠦᠩ,sercinsu1ruN
сэрчинхорлоо,,ᠰᠡᠷᠴᠢᠨᠬᠣᠷᠯᠣ,sercinhqrlq
сэрчиншадав,,ᠰᠡᠷᠴᠢᠨᠱᠠᠳᠤᠪ,sercinxadvb
сэрчмаа,,ᠰᠡᠷᠴᠢᠮ᠎ᠠ,sercim-a
сэрэлт,,ᠰᠡᠷᠢᠯᠲᠡ,serilte
сэрэмж,,ᠰᠡᠷᠡᠮᠵᠢ,seremji
сэрээнэн,,ᠰᠡᠷᠡᠢᠨᠦᠨ,sereinun
сэрээнэнбавуу,,ᠰᠡᠷᠡᠢᠨᠦᠨᠪᠠᠪᠤᠤ,sereinunbabvv
сэрээнэнбазар,,ᠰᠡᠷᠡᠢᠨᠦᠨᠪᠠᠵᠠᠷ,sereinunbajar
сэрээнэнгомбо,,ᠰᠡᠷᠡᠢᠨᠦᠨᠭᠣᠮᠪᠣ,sereinungqmbq
сэрээнэнготов,,ᠰᠡᠷᠡᠢᠨᠦᠨᠭᠣᠲᠣᠪ,sereinungqtqb
сэрээнэнгэрэл,,ᠰᠡᠷᠡᠢᠨᠦᠨᠭᠡᠷᠡᠯ,sereinungerel
сэрээнэндавга,,ᠰᠡᠷᠡᠢᠨᠦᠨᠳᠠᠭᠪᠠ,sereinundagba
сэрээнэндорж,,ᠰᠡᠷᠡᠢᠨᠦᠨᠳᠣᠷᠵᠢ,sereinundqrji
сэрээнэндулам,,ᠰᠡᠷᠡᠢᠨᠦᠨᠳᠤᠯᠮ᠎ᠠ,sereinundvlm-a
сэрээнэндэжид,,ᠰᠡᠷᠡᠢᠨᠦᠨᠳᠡᠵᠢᠳ,sereinundejid
